,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ASPN,0,2.288831992,0.956,0.413,0,CTHRC1+ Fb,ASPN
MDK,0,1.908406353,0.925,0.537,0,CTHRC1+ Fb,MDK
POSTN,0,1.887255995,0.961,0.532,0,CTHRC1+ Fb,POSTN
CTHRC1,0,1.999,0.995,0.624,0,CTHRC1+ Fb,CTHRC1
HTRA1,0,1.703712908,0.974,0.784,0,CTHRC1+ Fb,HTRA1
PRDX4,0,1.571923915,0.934,0.638,0,CTHRC1+ Fb,PRDX4
FN1,0,1.4373439,0.961,0.794,0,CTHRC1+ Fb,FN1
OGN,0,1.410242751,0.809,0.407,0,CTHRC1+ Fb,OGN
SPARC,0,1.409580524,1,0.949,0,CTHRC1+ Fb,SPARC
ADAM12,0,1.367773801,0.765,0.291,0,CTHRC1+ Fb,ADAM12
CSRP2,0,1.353612727,0.729,0.365,0,CTHRC1+ Fb,CSRP2
DPT,0,1.345043328,0.942,0.636,0,CTHRC1+ Fb,DPT
COL1A2,0,1.335412104,1,0.988,0,CTHRC1+ Fb,COL1A2
SFRP4,0,1.335107307,0.612,0.263,0,CTHRC1+ Fb,SFRP4
COL1A1,0,1.300703208,1,0.982,0,CTHRC1+ Fb,COL1A1
C1QTNF3,0,1.266086407,0.653,0.233,0,CTHRC1+ Fb,C1QTNF3
PPIB,0,1.256493376,0.988,0.879,0,CTHRC1+ Fb,PPIB
SPON2,0,1.229339426,0.827,0.515,0,CTHRC1+ Fb,SPON2
COL5A2,0,1.222790207,0.967,0.786,0,CTHRC1+ Fb,COL5A2
COL3A1,0,1.177275985,1,0.967,0,CTHRC1+ Fb,COL3A1
PPIC,0,1.155131469,0.932,0.695,0,CTHRC1+ Fb,PPIC
SCX,0,1.145020301,0.402,0.088,0,CTHRC1+ Fb,SCX
GOLM1,0,1.13151868,0.726,0.358,0,CTHRC1+ Fb,GOLM1
FAP,0,1.128428876,0.814,0.449,0,CTHRC1+ Fb,FAP
COPZ2,0,1.088182144,0.841,0.592,0,CTHRC1+ Fb,COPZ2
MMP23B,0,1.075547171,0.747,0.417,0,CTHRC1+ Fb,MMP23B
PPP1R14B,0,1.070792338,0.82,0.526,0,CTHRC1+ Fb,PPP1R14B
COL11A1,0,1.065582817,0.573,0.202,0,CTHRC1+ Fb,COL11A1
SFRP2,0,1.064461795,0.982,0.769,0,CTHRC1+ Fb,SFRP2
OSTC,0,1.056466842,0.889,0.69,0,CTHRC1+ Fb,OSTC
COL12A1,0,1.045096267,0.857,0.617,0,CTHRC1+ Fb,COL12A1
COMP,0,1.043936142,0.716,0.329,0,CTHRC1+ Fb,COMP
MFAP2,0,1.040061192,0.764,0.479,0,CTHRC1+ Fb,MFAP2
EDIL3,0,1.019973166,0.652,0.262,0,CTHRC1+ Fb,EDIL3
MARCKS,0,1.018113395,0.937,0.818,0,CTHRC1+ Fb,MARCKS
COL5A1,0,1.007641937,0.939,0.733,0,CTHRC1+ Fb,COL5A1
BGN,0,1.003495592,0.914,0.669,0,CTHRC1+ Fb,BGN
ARL4C,0,0.987281116,0.668,0.316,0,CTHRC1+ Fb,ARL4C
TSPAN13,0,0.97750596,0.59,0.167,0,CTHRC1+ Fb,TSPAN13
SEC61G,0,0.966762907,0.916,0.75,0,CTHRC1+ Fb,SEC61G
LGALS1,0,0.962841831,0.999,0.972,0,CTHRC1+ Fb,LGALS1
VKORC1,0,0.949995906,0.847,0.66,0,CTHRC1+ Fb,VKORC1
COL14A1,0,0.944733951,0.93,0.682,0,CTHRC1+ Fb,COL14A1
KDELR3,0,0.935200502,0.722,0.393,0,CTHRC1+ Fb,KDELR3
GXYLT2,0,0.927797984,0.683,0.339,0,CTHRC1+ Fb,GXYLT2
NREP,0,0.907694608,0.723,0.378,0,CTHRC1+ Fb,NREP
TNFRSF12A,0,0.904983131,0.709,0.395,0,CTHRC1+ Fb,TNFRSF12A
P4HA2,0,0.903515428,0.731,0.42,0,CTHRC1+ Fb,P4HA2
PTN,0,0.897832547,0.72,0.56,0,CTHRC1+ Fb,PTN
ATOX1,0,0.89773087,0.826,0.588,0,CTHRC1+ Fb,ATOX1
CERCAM,0,0.896890569,0.766,0.502,0,CTHRC1+ Fb,CERCAM
NBL1,0,0.88812176,0.852,0.667,0,CTHRC1+ Fb,NBL1
COL8A1,0,0.879350713,0.592,0.203,0,CTHRC1+ Fb,COL8A1
LRRC17,0,0.87844693,0.557,0.227,0,CTHRC1+ Fb,LRRC17
LUM,0,0.873700757,0.988,0.89,0,CTHRC1+ Fb,LUM
KDELR2,0,0.86944756,0.88,0.698,0,CTHRC1+ Fb,KDELR2
CKAP4,0,0.852626618,0.752,0.512,0,CTHRC1+ Fb,CKAP4
FTL,0,0.84921287,1,0.989,0,CTHRC1+ Fb,FTL
TGFBI,0,0.844840734,0.668,0.451,0,CTHRC1+ Fb,TGFBI
GPX8,0,0.844051537,0.759,0.5,0,CTHRC1+ Fb,GPX8
OLFML3,0,0.838628868,0.807,0.603,0,CTHRC1+ Fb,OLFML3
SDC1,0,0.835858891,0.56,0.186,0,CTHRC1+ Fb,SDC1
OST4,0,0.826030373,0.906,0.799,0,CTHRC1+ Fb,OST4
CLEC11A,0,0.824701883,0.803,0.635,0,CTHRC1+ Fb,CLEC11A
PHPT1,0,0.798829031,0.864,0.699,0,CTHRC1+ Fb,PHPT1
MGST3,0,0.792419649,0.925,0.802,0,CTHRC1+ Fb,MGST3
GJA1,0,0.788854153,0.722,0.542,0,CTHRC1+ Fb,GJA1
SSR3,0,0.785955371,0.785,0.584,0,CTHRC1+ Fb,SSR3
YIF1A,0,0.783101367,0.715,0.454,0,CTHRC1+ Fb,YIF1A
RABAC1,0,0.779612252,0.9,0.776,0,CTHRC1+ Fb,RABAC1
RARRES2,0,0.775637716,0.786,0.646,0,CTHRC1+ Fb,RARRES2
LRRC15,0,0.77052675,0.644,0.306,0,CTHRC1+ Fb,LRRC15
TUBA1A,0,0.769062355,0.819,0.721,0,CTHRC1+ Fb,TUBA1A
NME2,0,0.757943694,0.491,0.383,0,CTHRC1+ Fb,NME2
GPX7,0,0.756356396,0.614,0.291,0,CTHRC1+ Fb,GPX7
SEPTIN11,0,0.756224055,0.423,0.252,0,CTHRC1+ Fb,SEPTIN11
SULF2,0,0.754945346,0.651,0.317,0,CTHRC1+ Fb,SULF2
CRABP2,0,0.748527926,0.792,0.604,0,CTHRC1+ Fb,CRABP2
ENAH,0,0.739458522,0.724,0.49,0,CTHRC1+ Fb,ENAH
TMEM208,0,0.737260488,0.685,0.433,0,CTHRC1+ Fb,TMEM208
CD99,0,0.737107856,0.957,0.897,0,CTHRC1+ Fb,CD99
ISLR,0,0.735516612,0.705,0.534,0,CTHRC1+ Fb,ISLR
CHPF,0,0.734465176,0.633,0.366,0,CTHRC1+ Fb,CHPF
SERF2,0,0.727108869,0.99,0.954,0,CTHRC1+ Fb,SERF2
LMAN1,0,0.72489755,0.804,0.647,0,CTHRC1+ Fb,LMAN1
MYDGF,0,0.722532717,0.804,0.621,0,CTHRC1+ Fb,MYDGF
TXNL4A,0,0.71473111,0.67,0.404,0,CTHRC1+ Fb,TXNL4A
RCN3,0,0.714422786,0.783,0.606,0,CTHRC1+ Fb,RCN3
FIBIN,0,0.705802023,0.59,0.277,0,CTHRC1+ Fb,FIBIN
P4HB,0,0.701328472,0.848,0.711,0,CTHRC1+ Fb,P4HB
FABP5,0,0.699884613,0.574,0.34,0,CTHRC1+ Fb,FABP5
FKBP10,0,0.690049661,0.775,0.601,0,CTHRC1+ Fb,FKBP10
TTC3,0,0.689323196,0.818,0.676,0,CTHRC1+ Fb,TTC3
TPM1,0,0.681130261,0.824,0.658,0,CTHRC1+ Fb,TPM1
MMP11,0,0.678492344,0.384,0.179,0,CTHRC1+ Fb,MMP11
PYCR1,0,0.677855194,0.595,0.272,0,CTHRC1+ Fb,PYCR1
C1QTNF6,0,0.673255466,0.624,0.319,0,CTHRC1+ Fb,C1QTNF6
RCN1,0,0.673194839,0.745,0.58,0,CTHRC1+ Fb,RCN1
CILP2,0,0.67050896,0.307,0.075,0,CTHRC1+ Fb,CILP2
OLFML2B,0,0.670228897,0.68,0.446,0,CTHRC1+ Fb,OLFML2B
MRPS6,0,0.670218731,0.596,0.379,0,CTHRC1+ Fb,MRPS6
UQCR10,0,0.660172766,0.805,0.613,0,CTHRC1+ Fb,UQCR10
TMEM45A,0,0.655876926,0.664,0.415,0,CTHRC1+ Fb,TMEM45A
CALU,0,0.654421502,0.819,0.697,0,CTHRC1+ Fb,CALU
NRP2,0,0.654053289,0.601,0.291,0,CTHRC1+ Fb,NRP2
BASP1,0,0.653404559,0.755,0.543,0,CTHRC1+ Fb,BASP1
MMP14,0,0.644884748,0.737,0.576,0,CTHRC1+ Fb,MMP14
CCN5,2.78551920195789e-286,0.642629219,0.292,0.174,1.07E-281,CTHRC1+ Fb,CCN5
SEC61B,0,0.641842399,0.897,0.776,0,CTHRC1+ Fb,SEC61B
ITGB1,0,0.641477515,0.88,0.829,0,CTHRC1+ Fb,ITGB1
LOX,0,0.640006758,0.784,0.578,0,CTHRC1+ Fb,LOX
PRDX5,0,0.634328361,0.805,0.678,0,CTHRC1+ Fb,PRDX5
CREB3L1,0,0.632037946,0.648,0.414,0,CTHRC1+ Fb,CREB3L1
SERPINH1,0,0.627769342,0.869,0.756,0,CTHRC1+ Fb,SERPINH1
LRRN1,0,0.625162201,0.356,0.074,0,CTHRC1+ Fb,LRRN1
GALNT5,0,0.625100824,0.536,0.197,0,CTHRC1+ Fb,GALNT5
METRN,0,0.624867885,0.52,0.298,0,CTHRC1+ Fb,METRN
