ONTOLOGY,Description,Count,%,p.adjust,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
MF,fibronectin binding,52,62.65060240963856,1.4396610929578048E-28,"ELN, ADM, CLU, CHRDL1, CTSK, TIMP3, SVEP1, CD34, IGFBP5, GPX3, SERPINF1, MMP2, OMD, PDGFRL, DCN, TGFBR3, SFRP1, CCDC80, LOX, SLPI, SELENOP, MFGE8, GAS6, MATN4, CFD, ITIH5, TNXB, SEMA3C, PCOLCE2, C1R, SEMA3B, FGL2, FBLN1, PRELP, FBLN2, CST3, PLAC9, CLEC3B, FAM180B, IGFBP6, PLTP, CD55, S100A10, GSN, F10, PLA2G2A, PODN, MFAP5, MFAP4, SMOC2, QPCT, PI16",83,2313,20795,5.632595231770142,1.9579390864226144E-26,1.9579390864226144E-26,1.813972977126834E-26
MF,serine-type endopeptidase activity,45,54.21686746987952,5.664063724697848E-25,"CFD, TNXB, SEMA3C, C1R, FGL2, ADM, FBLN1, PRELP, CXCL14, CLU, CST3, PCSK1N, CLEC3B, FCGRT, CTSK, TIMP3, SVEP1, SLIT3, CKB, IGFBP6, PLTP, S100A10, GSN, IGFBP5, F10, GPX3, MMP2, SERPINF1, PLA2G2A, OMD, PODN, DCN, VASN, TGFBR3, MFAP4, SMOC2, SFRP1, LOX, SLPI, CILP, PI16, MFGE8, GAS6, ANGPTL1, NUCB2",83,1867,20795,6.038777498854549,7.703126665589074E-23,3.851563332794537E-23,3.568360146559644E-23
MF,endopeptidase inhibitor activity,26,31.32530120481928,7.060861801665991E-24,"ITIH5, TNXB, ELN, FGL2, SEMA3B, FBLN1, PRELP, FBLN2, CLU, CLEC3B, TIMP3, S100A10, MMP2, SERPINF1, PODN, DCN, MFAP5, MFAP4, SFRP1, LOX, SLPI, CILP, MGP, MFGE8, MATN4, ANGPTL1",83,387,20795,16.83229040191775,9.602772050265748E-22,3.20092401675525E-22,2.9655619566997164E-22
MF,serine-type endopeptidase inhibitor activity,35,42.168674698795186,7.1849008598602E-13,"CFD, TNXB, SEMA3C, C1R, FGL2, ADIRF, FBLN1, PRELP, CLU, CST3, CLEC3B, CKB, CD55, S100A10, GSN, GPX3, SERPINF1, PLA2G2A, OMD, CYBRD1, VASN, TGFBR3, SFRP1, GPRC5A, SLPI, DDAH2, CILP, QPCT, SELENOP, MGP, MFGE8, GAS6, CRYAB, ANGPTL1, NUCB2",83,2242,20795,3.911229216598777,9.772094244908658E-11,2.442866292352468E-11,2.263243770855963E-11
MF,extracellular matrix structural constituent,11,13.253012048192772,7.49334308309858E-11,"MFAP5, MFAP4, TNXB, CILP, ELN, MGP, FGL2, FBLN1, PRELP, MFGE8, FBLN2",81,121,19253,21.60830527497194,1.4162411132723207E-8,1.4162418427056316E-8,1.3413084118746457E-8
MF,calcium ion binding,11,13.253012048192772,1.7925477817660336E-8,"TNXB, LOX, ELN, MMP2, MGP, OMD, TIMP3, FBLN1, PRELP, FBLN2, VASN",83,223,20795,12.358582311308012,2.437862026805071E-6,4.875729966403611E-7,4.5172204100504044E-7
MF,collagen binding,10,12.048192771084338,5.581180460601324E-8,"TGFBR3, SMOC2, CLEC3B, SFRP1, TNXB, CCDC80, PCOLCE2, GPNMB, SLIT3, PRELP",81,179,19253,13.278846817021861,1.0548375733443471E-5,5.274215535268251E-6,4.995156512238185E-6
CC,extracellular region,6,7.228915662650602,1.4334790668959797E-7,"CCDC80, IGFBP5, MMP2, CTSK, FBLN1, IGFBP6",81,30,19253,47.538271604938274,2.709238929443636E-5,9.030918121444673E-6,8.553091765812679E-6
CC,basement membrane,15,18.072289156626507,1.918042941487304E-6,"GSN, F10, C1R, PLA2G2A, FBLN1, FBLN2, SMOC2, CLEC3B, MGP, SVEP1, SLIT3, GAS6, MATN4, NUCB2, S100A10",81,739,19253,4.824587781286022,3.624447646148887E-4,9.062752898527511E-5,8.583242163155684E-5
CC,extracellular space,3,3.614457831325301,1.5242518078769827E-4,"MFAP4, ELN, FBLN1",83,5,20795,150.32530120481928,0.02051798641664937,0.0034549707645211607,0.003200928796541664
CC,Golgi lumen,5,6.024096385542169,2.057563660108716E-4,"TNXB, PCOLCE2, LOX, CTSK, PODN",81,70,19253,16.97795414462081,0.03814537235243376,0.0077775906352109455,0.007366077903189203
BP,immune response,8,9.63855421686747,2.843431617587604E-4,"SFRP1, CILP, SERPINF1, MYADM, SLIT3, KLF4, CRYAB, CD34",81,310,19478,6.205655117483073,0.2009874741322768,0.11595752712437842,0.11551606445766123
