"","group","term","score","adjusted_score"
"1","Group1","IL-17 signaling pathway",18.22669718,18.22669718
"2","Group1","chemokine activity",35.76408669,35.76408669
"3","Group1","inflammatory response",7.361300076,7.361300076
"4","Group1","extracellular matrix organization1",13.33113489,13.33113489
"5","Group1","neutrophil chemotaxis",26.94984434,26.94984434
"6","Group1","TNF signaling pathway",11.43271222,11.43271222
"7","Group2","collagen-containing extracellular matrix",18.70734042,-18.70734042
"8","Group2","extracellular matrix structural constituent",32.06983151,-32.06983151
"9","Group2","collagen fibril organization",34.05244755,-34.05244755
"10","Group2","extracellular matrix organization",16.44484053,-16.44484053
"11","Group2","collagen trimer",22.65250545,-22.65250545
"12","Group2","cellular response to TGF-β stimulus",15.42375566,-15.42375566
"13","Group3","angiogenesis",8.417458946,8.417458946
"14","Group3","platelet aggregation",21.4043956,21.4043956
"15","Group3","blood microparticle",9.437020976,9.437020976
"16","Group3","Regulation of actin cytoskeleton",5.254926108,5.254926108
"17","Group3","myosin II complex",31.03731343,31.03731343
"18","Group3","stress fiber",12.63146477,12.63146477
