genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HES4,0,1.53988876805927,0.778,0.27,0
ISG15,0,0.974561684074844,0.728,0.479,0
AGRN,0,0.404785202000525,0.299,0.088,0
MMP23B,0,-1.94664983,0.16,0.747,0
TNFRSF14,0,0.325667945420791,0.269,0.081,0
FAM213B,0,0.145951631828204,0.111,0.009,0
MEGF6,0,-0.524798819,0.055,0.353,0
AJAP1,0,0.211104182560514,0.131,0.002,0
ERRFI1,0,0.967707506951913,0.447,0.101,0
PDPN,0,-0.808479197,0.05,0.439,0
FBLIM1,0,1.06577733655107,0.666,0.268,0
MFAP2,0,-1.993414647,0.156,0.764,0
NBL1,0,-1.441031568,0.664,0.852,0
CAMK2N1,0,1.15082164138061,0.671,0.289,0
ECE1,0,1.23863168272971,0.637,0.098,0
TRNP1,0,0.381001217890886,0.229,0.006,0
TINAGL1,0,2.09939878991501,0.738,0.011,0
COL16A1,0,-1.06988649,0.43,0.691,0
PHC2,0,0.798293345165435,0.598,0.286,0
SMIM12,0,0.475601011033093,0.472,0.253,0
GJA4,0,1.24657345756265,0.493,0.004,0
EVA1B,0,0.822258427178539,0.778,0.527,0
NDUFS5,0,0.501620138223458,0.915,0.782,0
MACF1,0,0.778263268311753,0.695,0.484,0
HEYL,0,0.521458901321044,0.316,0.02,0
BMP8B,0,0.576166183343284,0.317,0.001,0
CAP1,0,0.60416911989735,0.757,0.566,0
GPX7,0,-0.852623295,0.322,0.614,0
PODN,0,-0.750116789,0.289,0.609,0
C1orf123,0,0.231904278374168,0.464,0.176,0
SSBP3,0,0.521146271759894,0.396,0.115,0
JUN,0,-1.410560935,0.62,0.875,0
NFIA,0,0.598631940525787,0.472,0.245,0
PDE4B,0,0.294943100319068,0.145,0.021,0
SGIP1,0,1.01140699442863,0.495,0.039,0
ARHGAP29,0,1.01350166057215,0.555,0.145,0
F3,0,0.831751244940621,0.301,0.054,0
PLPPR4,0,0.660822226918751,0.362,0.024,0
COL11A1,0,-1.838637007,0.087,0.573,0
