,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Fabp41,0,4.7754462717003,0.843,0.171,0,Endothelial_cell,Fabp4
Tm4sf11,0,3.45119042764376,0.831,0.183,0,Endothelial_cell,Tm4sf1
Aqp1,0,3.28579954006369,0.628,0.102,0,Endothelial_cell,Aqp1
Selp,0,3.20672385190697,0.364,0.028,0,Endothelial_cell,Selp
Pecam1,0,3.18932150559443,0.804,0.055,0,Endothelial_cell,Pecam1
Ctla2a,0,3.18627508899918,0.726,0.076,0,Endothelial_cell,Ctla2a
Flt11,0,2.96059774486724,0.733,0.079,0,Endothelial_cell,Flt1
Ly6c1,0,2.95996010746765,0.762,0.168,0,Endothelial_cell,Ly6c1
Plvap,0,2.86329166640542,0.633,0.103,0,Endothelial_cell,Plvap
Ptprb,0,2.69645618119883,0.671,0.014,0,Endothelial_cell,Ptprb
Iigp11,0,2.68831198405183,0.614,0.089,0,Endothelial_cell,Iigp1
Cdh5,0,2.59056565236119,0.696,0.02,0,Endothelial_cell,Cdh5
Sele,0,2.4710171243185,0.319,0.009,0,Endothelial_cell,Sele
Adgrf5,0,2.39808744534594,0.66,0.021,0,Endothelial_cell,Adgrf5
Egfl7,0,2.33032441312431,0.684,0.028,0,Endothelial_cell,Egfl7
Ramp2,0,2.19771201802214,0.67,0.141,0,Endothelial_cell,Ramp2
Cyyr1,0,2.19176836025364,0.642,0.014,0,Endothelial_cell,Cyyr1
Adamts91,0,2.13912763653041,0.559,0.107,0,Endothelial_cell,Adamts9
Gng111,0,2.1357744817501,0.734,0.205,0,Endothelial_cell,Gng11
Epas11,0,2.05709783406831,0.688,0.149,0,Endothelial_cell,Epas1
Slfn51,0,2.05511874980529,0.65,0.196,0,Endothelial_cell,Slfn5
Eng,0,2.04407769802271,0.673,0.171,0,Endothelial_cell,Eng
Gpihbp1,0,2.04188672828557,0.395,0.008,0,Endothelial_cell,Gpihbp1
Igfbp71,0,2.0414366338621,0.841,0.491,0,Endothelial_cell,Igfbp7
Cavin2,0,2.0355814971702,0.592,0.061,0,Endothelial_cell,Cavin2
Emcn,0,2.03055636398263,0.587,0.012,0,Endothelial_cell,Emcn
Cd361,0,2.00885147575805,0.481,0.072,0,Endothelial_cell,Cd36
Esam1,0,1.99263252984583,0.638,0.053,0,Endothelial_cell,Esam
Apold11,0,1.97944598512514,0.61,0.086,0,Endothelial_cell,Apold1
Scarb1,0,1.95011508178159,0.581,0.134,0,Endothelial_cell,Scarb1
Tmem252,0,1.93956497511135,0.446,0.009,0,Endothelial_cell,Tmem252
Podxl,0,1.91581668932884,0.551,0.011,0,Endothelial_cell,Podxl
Kdr,0,1.9028943463368,0.572,0.038,0,Endothelial_cell,Kdr
Ehd41,0,1.89557933279508,0.627,0.244,0,Endothelial_cell,Ehd4
Mast42,0,1.87194139989646,0.608,0.174,0,Endothelial_cell,Mast4
Cav11,0,1.86404634887886,0.701,0.269,0,Endothelial_cell,Cav1
Gimap6,0,1.85460450696162,0.589,0.025,0,Endothelial_cell,Gimap6
Pdlim12,0,1.83990655753336,0.665,0.164,0,Endothelial_cell,Pdlim1
Cd931,0,1.83371799107966,0.621,0.11,0,Endothelial_cell,Cd93
Rasip1,0,1.82854125722035,0.633,0.057,0,Endothelial_cell,Rasip1
Adgrl4,0,1.81130955130449,0.526,0.007,0,Endothelial_cell,Adgrl4
Ecscr,0,1.80521687599465,0.586,0.054,0,Endothelial_cell,Ecscr
Cldn5,0,1.78591942036438,0.329,0.014,0,Endothelial_cell,Cldn5
Tspan131,0,1.77750719384446,0.599,0.101,0,Endothelial_cell,Tspan13
Myct1,0,1.77436977137906,0.568,0.01,0,Endothelial_cell,Myct1
Rnd1,0,1.7669475556979,0.547,0.073,0,Endothelial_cell,Rnd1
Abcg2,0,1.74965776906959,0.561,0.094,0,Endothelial_cell,Abcg2
Jam2,0,1.7272055269469,0.572,0.079,0,Endothelial_cell,Jam2
Uaca,0,1.72137254834744,0.576,0.11,0,Endothelial_cell,Uaca
Kitl1,0,1.70344624529892,0.632,0.172,0,Endothelial_cell,Kitl
Lrg1,0,1.70209413059466,0.477,0.105,0,Endothelial_cell,Lrg1
Mmrn2,0,1.7007445772858,0.568,0.016,0,Endothelial_cell,Mmrn2
Cd2001,0,1.68924163796711,0.558,0.16,0,Endothelial_cell,Cd200
Slc9a3r21,0,1.68407031704782,0.516,0.078,0,Endothelial_cell,Slc9a3r2
Ly6a,0,1.66678731126795,0.764,0.289,0,Endothelial_cell,Ly6a
Vwf,0,1.6621245907078,0.394,0.018,0,Endothelial_cell,Vwf
S1pr1,0,1.63786903211867,0.541,0.033,0,Endothelial_cell,S1pr1
Ltbp4,0,1.60153179777342,0.559,0.151,0,Endothelial_cell,Ltbp4
C130074G19Rik,0,1.58334792731792,0.508,0.01,0,Endothelial_cell,C130074G19Rik
Ece11,0,1.58149132685812,0.642,0.26,0,Endothelial_cell,Ece1
Clu,0,1.57345545894151,0.391,0.057,0,Endothelial_cell,Clu
Tinagl11,0,1.56440733587052,0.591,0.082,0,Endothelial_cell,Tinagl1
Tshz21,0,1.54590376040587,0.563,0.145,0,Endothelial_cell,Tshz2
Cd300lg,0,1.53411303953223,0.431,0.018,0,Endothelial_cell,Cd300lg
Pcdh17,0,1.53201669877255,0.473,0.032,0,Endothelial_cell,Pcdh17
Tspan7,0,1.50175288623181,0.526,0.068,0,Endothelial_cell,Tspan7
Crip22,0,1.47234745854887,0.676,0.288,0,Endothelial_cell,Crip2
