,AWD01,AWD02,AWD03,AWD11,AWD12,AWD13,AWD71,AWD72,AWD73,AWD301,AWD302,AWD303,GSM7847134_diac32_filtered_feature_bc_matrix,GSM7847135_diac34_filtered_feature_bc_matrix,GSM7847136_diac35_filtered_feature_bc_matrix,GSM7847137_diac36_filtered_feature_bc_matrix,GSM7847138_diac37_filtered_feature_bc_matrix,GSM7847139_diac38_filtered_feature_bc_matrix,GSM7847140_diac39_filtered_feature_bc_matrix,GSM7847141_diac44a_filtered_feature_bc_matrix,GSM7847142_diac44b_filtered_feature_bc_matrix,GSM7847143_diac44c_filtered_feature_bc_matrix,GSM7847144_diac50a_filtered_feature_bc_matrix,GSM7847145_diac50b_filtered_feature_bc_matrix,HS1,HS2,HS3,HS4,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,NS1,NS2,NS3,NS4,NS5,NS6,NS7,S6,S7,S8,S9,S10,S11
CTHRC1+ Fb,0,0.003656307,0.001043841,0,0,0,0.036429872,0.036842105,0.020588235,0.382746051,0.509741731,0.516460905,0.037914692,0.000798722,0.054035568,0.078488372,0.009174312,0.001064963,0.013157895,0.004016064,0.002070393,0,0.029077118,0.009727626,0,0.000647668,0.41142664,0.180278282,0.337774661,0.397969543,0.107046799,0.229978355,0.420118343,0.230902178,0.707328386,0.355527638,0.675866496,0.08477237,0.02529511,0.507788836,0.022160665,0.002068252,0.083457526,0.215686275,0.00080171,0.000952986,0.002514669,0,0,0,0,0,0
CCL19+ Fb,0.278497409,0.290676417,0.363256785,0.158844765,0.164285714,0.229390681,0.204007286,0.111111111,0.197058824,0.174969623,0.033982782,0.083950617,0.004739336,0,0,0,0,0.001064963,0.019736842,0.004016064,0,0,0,0.001945525,0.318013343,0.16515544,0.12474645,0.119177253,0.084385227,0.044416244,0.45831092,0.356601732,0.183925049,0.258900795,0.009972171,0.159547739,0.045143346,0.076923077,0.166104553,0.013630463,0.393351801,0.214064116,0.200695479,0.220299885,0.495724212,0.397712834,0.401508801,0.335692619,0.314018692,0.191683992,0.268053856,0.29970617,0.212279556
PI16+ Fb,0.041450777,0.078610603,0.054279749,0.061371841,0.091071429,0.035842294,0.041894353,0.029824561,0.033823529,0.068043742,0.049841414,0.038683128,0,0,0,0,0,0,0.013157895,0,0,0,0,0,0.543365456,0.615284974,0.174442191,0.06291591,0.018466573,0.013959391,0.101667563,0.048160173,0.09122288,0.311787072,0.001855288,0.181909548,0.066324347,0.020408163,0.092748735,0.003461705,0.249307479,0.142709411,0.548931942,0.064590542,0.375734901,0.241423126,0.180217938,0.074823054,0.161370717,0.281496881,0.086903305,0.066601371,0.102547355
LAMP5+ Fb,0,0.005484461,0,0,0.001785714,0.003584229,0.010928962,0.004678363,0.033823529,0.044957473,0.072043498,0.060493827,0.037914692,0.002396166,0.045827633,0.031395349,0,0.002129925,0.092105263,0,0.004140787,0,0.024020228,0.023346304,0.00222387,0.000647668,0.136240703,0.08045977,0.112903226,0.071573604,0.074771382,0.086038961,0.090729783,0.088489457,0.114564007,0.116331658,0.151262302,0.013343799,0.014333895,0.125270446,0,0,0.005961252,0.051903114,0.000267237,0.004447268,0.000838223,0.001011122,0,0.000831601,0.00122399,0.001958864,0.001306336
APCDD1+ Fb,0.00388601,0.005484461,0.005219207,0.010830325,0.008928571,0.021505376,0.02003643,0.003508772,0.013235294,0.042527339,0.017671047,0.025102881,0.327014218,0.013578275,0.075239398,0.056976744,0.038990826,0.003194888,0.190789474,0.220883534,0.300207039,0,0.203539823,0.149805447,0.029651594,0.080958549,0.013860717,0.08892922,0.095371669,0.01319797,0.00591716,0.008116883,0.020216963,0.02315935,0.004174397,0.019095477,0.008985879,0.120879121,0.328836425,0.00562527,0.024930748,0.007238883,0.016393443,0.002306805,0.013896312,0.01270648,0.028499581,0.250758342,0.157009346,0.158835759,0.225214198,0.308521058,0.343566297
TNFAIP6+ Fb,0.509067358,0.433272395,0.370563674,0.259927798,0.385714286,0.376344086,0.194899818,0.118128655,0.129411765,0.086269745,0.013593113,0.030864198,0,0.00399361,0.000683995,0,0,0.001064963,0,0,0,0,0,0,0.083024463,0.008419689,0.034144692,0.061101028,0.000467508,0.000253807,0.051640667,0.064935065,0.020710059,0.011061182,0.000231911,0.040201005,0.006846384,0.013343799,0.005059022,0.001947209,0.069252078,0.477766287,0.068554396,0.001153403,0.047300909,0.053049555,0.091366303,0.024266936,0.064174455,0.077754678,0.094247246,0.089128306,0.115610712
COL4A1+ Fb,0,0,0.003131524,0.003610108,0,0,0.007285974,0.006432749,0.017647059,0.001215067,0.000453104,0.002880658,0.398104265,0.795527157,0.3625171,0.195348837,0.610091743,0.698615548,0.348684211,0.746987952,0.67494824,0.12244898,0.304677623,0.326848249,0.00148258,0.00388601,0.004394861,0.02722323,0.034595605,0.010659898,0.003227542,0.009199134,0.006903353,0.010024196,0.006029685,0.004271357,0.005134788,0.002354788,0.005059022,0.012332324,0.002770083,0.004136505,0.005464481,0.016147636,0.002939604,0.006035578,0.004191115,0.002022245,0.002492212,0.002079002,0.003671971,0,0.000653168
LRRC15+ Fb,0.00388601,0.001828154,0.006263048,0.003610108,0,0.003584229,0.016393443,0.005263158,0.005882353,0.065613609,0.076574536,0.086831276,0.018957346,0.007188498,0.01504788,0.019186047,0.002293578,0,0.032894737,0,0.00310559,0,0.037926675,0.015564202,0,0,0.056795132,0.207501512,0.177653109,0.074365482,0.03119957,0.054112554,0.07495069,0.03560318,0.119434137,0.042462312,0.011339324,0.037676609,0.05143339,0.133924708,0.008310249,0.003102378,0.008941878,0.079584775,0.000267237,0,0.001676446,0.003033367,0.014330218,0.015800416,0.004895961,0.003917728,0.014369693
MMP1+ Fb,0,0,0.001043841,0.350180505,0.2,0.172043011,0.342440801,0.563157895,0.361764706,0.038882139,0.116447667,0.041152263,0.004739336,0.174121406,0.422708618,0.579069767,0.245412844,0.24600639,0.25,0,0.001035197,0.841836735,0.14159292,0.449416342,0.00222387,0.005181347,0.008451657,0.00907441,0.025011688,0.020304569,0.004841313,0.002705628,0.009368836,0.006567577,0.002782931,0.001005025,0.000427899,0.18288854,0.128161889,0.019255733,0.04432133,0.001034126,0.000993542,0.038062284,0.012025655,0.000952986,0.002514669,0,0.003738318,0.000831601,0.004895961,0,0.001959504
COCH+ Fb,0.080310881,0.113345521,0.083507307,0.054151625,0.026785714,0.050179211,0.04007286,0.011695906,0.025,0.054678007,0.009515179,0.016049383,0,0,0,0,0,0,0,0,0,0,0,0,0.007412898,0,0.004056795,0.010284332,0.000233754,0.000507614,0.023130715,0.017857143,0.019230769,0.002073972,0.000695733,0.003015075,0.002139495,0.021193093,0.094435076,0.001514496,0.027700831,0.108583247,0.001490313,0.01384083,0.012827365,0.212833545,0.185247276,0.138523761,0.090342679,0.098128898,0.130966952,0.084231146,0.041802743
